iter	Passed	Remaining
0	153	153691
1	156	77985
2	158	52746
3	161	40192
4	163	32580
5	166	27534
6	168	23910
7	170	21160
8	173	19051
9	175	17413
10	178	16044
11	180	14883
12	183	13895
13	185	13060
14	187	12333
15	206	12711
16	210	12198
17	216	11810
18	220	11387
19	223	10971
20	227	10621
21	231	10277
22	235	9994
23	238	9692
24	241	9407
25	243	9134
26	247	8905
27	249	8670
28	252	8452
29	254	8243
30	257	8059
31	260	7879
32	262	7704
33	265	7542
34	267	7374
35	269	7219
36	272	7095
37	274	6957
38	277	6825
39	280	6723
40	282	6604
41	284	6487
42	286	6372
43	288	6268
44	290	6166
45	293	6092
46	296	6013
47	298	5921
48	300	5830
49	302	5751
50	305	5676
51	307	5605
52	309	5533
53	311	5462
54	313	5392
55	316	5327
56	318	5263
57	320	5207
58	323	5155
59	325	5105
60	328	5052
61	331	5013
62	333	4963
63	336	4923
64	339	4876
65	341	4834
66	344	4802
67	346	4751
68	348	4704
69	351	4663
70	353	4621
71	355	4580
72	357	4539
73	359	4499
74	361	4459
75	363	4419
76	365	4383
77	367	4349
78	369	4311
79	371	4274
80	373	4240
81	375	4206
82	377	4172
83	379	4141
84	381	4111
85	383	4080
86	385	4049
87	387	4020
88	389	3990
89	391	3962
90	394	3938
91	396	3910
92	398	3883
93	400	3857
94	402	3831
95	403	3799
96	405	3774
97	407	3750
98	409	3726
99	411	3701
100	413	3678
101	415	3654
102	417	3631
103	418	3609
104	420	3587
105	422	3567
106	425	3551
107	427	3533
108	431	3527
109	434	3513
110	436	3495
111	438	3477
112	440	3457
113	442	3439
114	444	3421
115	446	3401
116	448	3385
117	450	3368
118	452	3351
119	455	3339
120	458	3328
121	460	3311
122	462	3294
123	464	3280
124	466	3263
125	468	3249
126	470	3236
127	473	3225
128	475	3211
129	477	3198
130	479	3182
131	481	3165
132	484	3156
133	486	3145
134	488	3132
135	491	3119
136	493	3106
137	495	3094
138	497	3084
139	500	3072
140	502	3061
141	504	3049
142	506	3036
143	509	3026
144	511	3015
145	513	3004
146	515	2992
147	517	2980
148	519	2967
149	521	2955
150	523	2944
151	525	2934
152	529	2932
153	532	2922
154	534	2913
155	536	2901
156	538	2890
157	540	2878
158	542	2869
159	544	2857
160	546	2847
161	548	2835
162	550	2824
163	551	2812
164	553	2802
165	556	2794
166	558	2783
167	560	2774
168	562	2763
169	564	2754
170	566	2744
171	567	2733
172	569	2724
173	572	2715
174	574	2706
175	576	2697
176	578	2688
177	580	2678
178	582	2669
179	584	2661
180	586	2653
181	588	2644
182	590	2635
183	592	2627
184	593	2615
185	595	2607
186	599	2605
187	600	2595
188	602	2586
189	605	2579
190	607	2571
191	608	2562
192	610	2553
193	612	2545
194	615	2539
195	617	2532
196	619	2524
197	621	2517
198	624	2512
199	626	2505
200	628	2499
201	630	2491
202	632	2483
203	634	2476
204	636	2469
205	638	2462
206	640	2454
207	642	2448
208	645	2442
209	646	2433
210	649	2427
211	651	2421
212	653	2414
213	655	2408
214	658	2404
215	661	2399
216	663	2393
217	665	2387
218	667	2379
219	669	2373
220	671	2367
221	673	2361
222	676	2355
223	678	2350
224	680	2344
225	682	2337
226	684	2330
227	686	2323
228	688	2318
229	690	2312
230	692	2306
231	694	2300
232	696	2294
233	699	2288
234	701	2282
235	703	2276
236	705	2270
237	707	2265
238	709	2258
239	711	2252
240	713	2247
241	715	2242
242	718	2237
243	720	2232
244	722	2226
245	724	2220
246	726	2215
247	728	2210
248	731	2206
249	733	2201
250	735	2195
251	738	2191
252	740	2185
253	742	2180
254	744	2174
255	746	2169
256	748	2164
257	750	2159
258	753	2154
259	754	2148
260	756	2143
261	759	2138
262	761	2134
263	763	2128
264	765	2122
265	767	2117
266	769	2112
267	771	2108
268	773	2102
269	776	2098
270	777	2092
271	779	2087
272	781	2081
273	783	2076
274	785	2071
275	787	2066
276	789	2061
277	791	2056
278	793	2051
279	795	2046
280	797	2040
281	799	2036
282	801	2031
283	803	2026
284	806	2022
285	808	2018
286	811	2015
287	814	2012
288	816	2008
289	818	2003
290	820	1999
291	822	1995
292	824	1990
293	826	1985
294	829	1981
295	831	1977
296	834	1974
297	836	1971
298	839	1967
299	841	1964
300	843	1959
301	845	1955
302	848	1951
303	850	1947
304	854	1946
305	856	1941
306	858	1937
307	860	1934
308	863	1930
309	865	1927
310	869	1925
311	871	1921
312	873	1917
313	875	1913
314	878	1909
315	880	1906
316	883	1903
317	886	1900
318	888	1896
319	890	1891
320	892	1888
321	894	1884
322	897	1880
323	899	1877
324	901	1873
325	903	1868
326	906	1866
327	908	1862
328	911	1858
329	913	1854
330	915	1850
331	917	1846
332	918	1840
333	920	1835
334	923	1833
335	926	1830
336	928	1826
337	930	1823
338	933	1819
339	935	1815
340	937	1812
341	940	1808
342	942	1804
343	944	1800
344	946	1796
345	948	1793
346	951	1789
347	952	1785
348	955	1781
349	956	1777
350	958	1772
351	960	1768
352	963	1765
353	965	1762
354	967	1758
355	970	1754
356	972	1751
357	974	1748
358	977	1744
359	978	1740
360	981	1736
361	983	1732
362	985	1728
363	987	1725
364	990	1723
365	992	1720
366	995	1717
367	998	1714
368	1000	1710
369	1002	1707
370	1004	1703
371	1006	1699
372	1009	1696
373	1012	1694
374	1015	1692
375	1018	1689
376	1021	1688
377	1024	1685
378	1026	1682
379	1029	1679
380	1031	1676
381	1034	1673
382	1036	1669
383	1038	1666
384	1041	1663
385	1044	1660
386	1048	1660
387	1050	1656
388	1051	1652
389	1053	1648
390	1056	1646
391	1060	1644
392	1062	1640
393	1064	1637
394	1066	1633
395	1069	1630
396	1071	1628
397	1074	1625
398	1077	1622
399	1079	1619
400	1082	1616
401	1085	1614
402	1087	1611
403	1090	1609
404	1093	1605
405	1095	1602
406	1097	1599
407	1101	1597
408	1104	1595
409	1106	1591
410	1108	1588
411	1110	1585
412	1112	1581
413	1115	1578
414	1117	1575
415	1120	1572
416	1122	1568
417	1124	1565
418	1126	1562
419	1130	1560
420	1132	1557
421	1134	1554
422	1136	1550
423	1139	1547
424	1141	1543
425	1143	1541
426	1145	1537
427	1148	1534
428	1150	1531
429	1152	1527
430	1154	1523
431	1156	1520
432	1159	1517
433	1161	1514
434	1163	1510
435	1165	1507
436	1167	1503
437	1169	1500
438	1171	1496
439	1173	1493
440	1175	1490
441	1177	1486
442	1179	1483
443	1182	1480
444	1184	1477
445	1186	1474
446	1189	1471
447	1191	1468
448	1194	1465
449	1196	1462
450	1199	1459
451	1202	1457
452	1204	1454
453	1207	1451
454	1209	1448
455	1211	1445
456	1214	1442
457	1216	1439
458	1221	1439
459	1225	1438
460	1228	1436
461	1233	1436
462	1236	1434
463	1239	1431
464	1241	1428
465	1243	1424
466	1246	1422
467	1249	1420
468	1262	1429
469	1264	1426
470	1266	1422
471	1269	1419
